public_pair_id,public_field_cluster_id,crop,inside_comparison,outside_comparison,anomaly_confirmation_evaluable,anomaly_confirmed,observed_direction,stads_direction,direction_evaluable,direction_agreement,composite_evaluable,composite_classification
RTK-002,RTKF-004,Corn silage,,Better,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-003,RTKF-004,Corn silage,,Worse,true,true,Positive,Negative,true,false,true,Presence-only correspondence
RTK-004,RTKF-001,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-006,RTKF-003,Soybean,Better,,true,true,Positive,Positive,true,true,true,Full correspondence
RTK-008,RTKF-003,Corn silage,Better,Better,true,true,Indeterminate,Negative,false,,true,Presence-only correspondence
RTK-010,RTKF-013,Corn silage,,Better,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-011,RTKF-013,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-012,RTKF-005,Corn silage,,Worse,true,true,Positive,Positive,true,true,true,Full correspondence
RTK-013,RTKF-005,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-014,RTKF-005,Corn silage,Same,,true,false,Same,Positive,false,,true,No correspondence
RTK-015,RTKF-005,Corn silage,Worse,Better,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-016,RTKF-005,Corn silage,,Worse,true,true,Positive,Negative,true,false,true,Presence-only correspondence
RTK-018,RTKF-008,Corn silage,Worse,Better,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-019,RTKF-008,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-020,RTKF-008,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-021,RTKF-008,Corn silage,,Same,true,false,Same,Positive,false,,true,No correspondence
RTK-023,RTKF-008,Corn silage,Worse,,true,true,Negative,Negative,true,true,true,Full correspondence
RTK-024,RTKF-008,Corn silage,,Better,true,true,Negative,Positive,true,false,true,Presence-only correspondence
RTK-025,RTKF-009,Corn silage,Worse,,true,true,Negative,Positive,true,false,true,Presence-only correspondence
