analysis,group,n_evaluable,n_success,percent,field_clusters,field_cluster_bootstrap_ci_lower_percent,field_cluster_bootstrap_ci_upper_percent,bootstrap_replicates,random_seed
anomaly_confirmation,Overall,53,44,83.01886792452831,16,76.78571428571429,89.8347457627118,10000,20260819
anomaly_confirmation,Corn silage,31,27,87.09677419354838,10,81.81818181818181,95.45454545454545,10000,20260820
anomaly_confirmation,Soybean,22,17,77.27272727272727,7,64.28571428571429,90.9090909090909,10000,20260821
direction_agreement,Overall,43,37,86.04651162790698,16,76.08695652173913,94.44444444444444,10000,20260822
direction_agreement,Negative deviance,25,22,88.0,11,75.0,100.0,10000,20260823
direction_agreement,Positive deviance,18,15,83.33333333333333,11,63.63636363636363,100.0,10000,20260824
direction_agreement,Corn silage,26,21,80.76923076923077,9,66.66666666666667,91.66666666666667,10000,20260825
direction_agreement,Soybean,17,16,94.11764705882354,7,77.77777777777777,100.0,10000,20260826
composite,Full correspondence,53,37,69.81132075471699,16,59.57446808510638,79.54545454545455,10000,20260827
composite,Presence-only correspondence,53,7,13.20754716981132,16,6.0,22.641509433962263,10000,20260828
composite,No correspondence,53,9,16.9811320754717,16,9.803921568627452,23.076923076923077,10000,20260829
